Postal_Code,District
M3A,North York
M4A,North York
M5A,Downtown Toronto
M6A,North York
M7A,Downtown Toronto
M9A,Etobicoke
M1B,Scarborough
M3B,North York
M4B,East York
M5B,Downtown Toronto
M6B,North York
M9B,Etobicoke
M1C,Scarborough
M3C,North York
M4C,East York
M5C,Downtown Toronto
M6C,York
M9C,Etobicoke
M1E,Scarborough
M4E,East Toronto
M5E,Downtown Toronto
M6E,York
M1G,Scarborough
M4G,East York
M5G,Downtown Toronto
M6G,Downtown Toronto
M1H,Scarborough
M2H,North York
M3H,North York
M4H,East York
M5H,Downtown Toronto
M6H,West Toronto
M1J,Scarborough
M2J,North York
M3J,North York
M4J,East York
M5J,Downtown Toronto
M6J,West Toronto
M1K,Scarborough
M2K,North York
M3K,North York
M4K,East Toronto
M5K,Downtown Toronto
M6K,West Toronto
M1L,Scarborough
M2L,North York
M3L,North York
M4L,East Toronto
M5L,Downtown Toronto
M6L,North York
M9L,North York
M1M,Scarborough
M2M,North York
M3M,North York
M4M,East Toronto
M5M,North York
M6M,York
M9M,North York
M1N,Scarborough
M2N,North York
M3N,North York
M4N,Central Toronto
M5N,Central Toronto
M6N,York
M9N,York
M1P,Scarborough
M2P,North York
M4P,Central Toronto
M5P,Central Toronto
M6P,West Toronto
M9P,Etobicoke
M1R,Scarborough
M2R,North York
M4R,Central Toronto
M5R,Central Toronto
M6R,West Toronto
M7R,Mississauga
M9R,Etobicoke
M1S,Scarborough
M4S,Central Toronto
M5S,Downtown Toronto
M6S,West Toronto
M1T,Scarborough
M4T,Central Toronto
M5T,Downtown Toronto
M1V,Scarborough
M4V,Central Toronto
M5V,Downtown Toronto
M8V,Etobicoke
M9V,Etobicoke
M1W,Scarborough
M4W,Downtown Toronto
M5W,Downtown Toronto
M8W,Etobicoke
M9W,Etobicoke
M1X,Scarborough
M4X,Downtown Toronto
M5X,Downtown Toronto
M8X,Etobicoke
M4Y,Downtown Toronto
M7Y,East Toronto
M8Y,Etobicoke
M8Z,Etobicoke